,label,review
0,__label__2,simple durable fun game for all ages this is an awesome game! almost everyone know tic-tac-toe so it is easy to learn and quick to play you can't play just once! the twist is that your pieces are slightly different sizes - just big enough to gobble up your opponent the first person to make tic-tac-toe wins but it's not as easy as it looks when you're stuck in the mindset of just making three in a row and forget about the gobbling possibilities! my 4 and 5 year olds will beat me even when i'm trying to win! excellent beginning critical thinking game grandparents loved playing it with the kids too
1,__label__2,review of kelly club for toddlers for the price of 799 this pc game is well worth it great graphics colorful and lots to do! my four year old daughter is in love with the many tasks to complete in this game including dressing and grooming wide variety of pets and decoration of numerous floats to show in your little one's very own parade
2,__label__2,soy un apasionado del box y este libro está espléndido !lo disfrutas lo puedes usar como obra de consultanos trae las historia de los boxeadores más brillantes de los campeones durante cien años !!si te gusta el boxno te lo pierdas !
3,__label__2,some of the best fiddle playing i have heard in a long time this is an excellent album with some great fiddle playing ryan is amazing to watch when he plays in person you can feel the emotion he puts into each song
4,__label__1,long and boring i've read this book with much expectation it was very boring all through out the book
5,__label__1,dont like it this product smells when you open the package and it appears one of the gel cushions leaks so i spent 10 and havent worn then i wouldnt buy this product again dont waste your money on something you may not be able to use
6,__label__2,one of the last in the series to collect ! the magazine was in very good condition and had the usual high standard of articles and photos that victoria magazine has come to represent i have collected all the previous magazines of the series and still enjoy leafing through them on a rainy day
7,__label__2,sony hi8 camcorder with 25 lcd i believe i will be very happy with the camcorder its smalllight and easy to handlethe lcd is clear and brightease of operation
8,__label__1,don't take the chance - get the se branded cable if you purchase this data cable you need to know that you will receive no real directions or information regarding what to check if nothing works as directed i downloaded all of the files from the se site 70mb on dial up! and then downloaded all of the user guides everything seemed to install ok but nothing would make my phone be recognized after that i scoured the se site for troubleshooting info on their branded cable-in the hope that something would help me figure out the problem after 2 full days of beating my head against the wall i finally threw the cable and the useless cd that came with it in the trashif i had used my brain i would have paid the extra  for a se branded cable and software and the support that comes along with that i now have the real deal se data cable and software and guess what? yep installation was a breeze and it works beautifully you really do get what you pay for
9,__label__1,waste of money! like many of the barbie cd roms the playtime is limited - averaging about 5 mins for each of my two daughters ages 5  7 like the barbie movies and other cd roms the graphics are poorly done
10,__label__2,works great i bought this item to connect to a strobe light unit functions well not sure that it has all the range claimed but i never really believe everything a manufacturer claims about a product like this just too many variables i can say it works from my neighbors house into my garage at least 40' going thru two buildings now if i make too much noise later at night he can simply press a button to let me know
11,__label__1,has no range i suppose if you were going to sit in the same room and have line-of-sight with the device lamp etc plugged into this control it might work maybe but i had it completely within the stated range and one basic house wall separating me and the unit and it was completely unreliablei'd recommend spending a touch more money and getting a higher quality product
12,__label__2,wish i had gotten this sooner! ive got a lamp in the corner of my room behind my desk thats a complete pain in the arse to turn on and off ive been using this with the lamp for a month now and it works perfectly added a little velcro and now i have a light switch where ever i want under my desk shelf etc
13,__label__1,three days of use and it broke very disappointed in this product it worked perfectly for exactly three days and could not be resuscitated it was very inexpensive so i did not want to pay half again the price to ship it back for an exchange so the company would do nothing when they sent me an inquiry as to product satisfaction
14,__label__2,this is the all time best book! this is the all time best book she mentoins in the book how anyone can be a vampire who knows well anyway i like the idea of having one soulmate and one crazed werewolf crush ps i think that it is a good twist on the story about how anone can be part of the night world
15,__label__2,mary ash can't believe i have never reviewed this book before first read this back when i was 13 like a lot of girls wanting the mysterious boyfriend and believed in soul-mates which drug me into these books rereading it over time years later still stands the test of time for me ash is that bad boy you want and your parents want you to stay away from even though he seems like a jerk there is just something about him that make you wanna root for him
16,__label__2,tha bomb of a book!! lj smith is the best author in the whole world i read this book a year ago but i can't stop reading it it is beyond sweet i love ashthe entire night world seris is the bomb i read mostly everyone of lj smiths book and they all are awesome i think ash and mary lynetee are one of the sweetest soulmates i loved how they tried to fight there feelings but couldn't there should be real guys like ashquinnjuliundamongabriel and i can go on forever i think everyone should read at least one lj smith book if you do you'll be hooked on them for lifelike i am lj smith is the best!!!!
17,__label__2,this book was a great book that i have read many times! this book was so great! i loved and read it so many times that i will soon have to buy a new copy because my last one fell apart i just hope that there is a follow up on this story because i want to know if mary-lynette and ash get together
